"Código","Município","UF","Nível de Aprendizagem (Português | 5º ano | 2015)","Faixa de Aprendizagem (Português | 5º ano | 2015)","Nível de Desigualdade por Raça (Português | 5º ano | 2015)","Faixa de Desigualdade por Raça (Português | 5º ano | 2015)","Nível de Aprendizagem (Matemática | 5º ano | 2015)","Faixa de Aprendizagem (Matemática | 5º ano | 2015)","Nível de Desigualdade por Raça (Matemática | 5º ano | 2015)","Faixa de Desigualdade por Raça (Matemática | 5º ano | 2015)"
"1100015","Alta Floresta D'Oeste","RO","-0.409952568957336","Médio-alta","-0.599214118831714","Desigualdade alta","-0.429128107832814","Médio-alta","-0.500907736769014","Desigualdade"
"1100023","Ariquemes","RO","-0.53903976753132","Médio-alta","-0.0587047544135904","Desigualdade","-0.759306303948038","Média","-0.0568064800487958","Desigualdade"
"1100031","Cabixi","RO","-0.568396603787959","Médio-alta","-1.01640011354692","Desigualdade extrema","-0.686664853931378","Média","-0.00204557266014921","Desigualdade"
"1100049","Cacoal","RO","-0.34062240941018","Médio-alta","-0.0846607628422097","Desigualdade","-0.499363243796702","Médio-alta","-0.110186581691509","Desigualdade"
"1100056","Cerejeiras","RO","-0.237062968176474","Alta","-0.575544357455531","Desigualdade alta","-0.325725668809212","Médio-alta","-0.62114234337945","Desigualdade alta"
"1100064","Colorado do Oeste","RO","-0.234096158005091","Alta","-0.00322249067756224","Desigualdade","-0.299002071798975","Médio-alta","-0.515536242068907","Desigualdade"
"1100072","Corumbiara","RO","-0.687372999609404","Média","0.635655324326892","Situações atípicas","-0.865635047801154","Média","0.0000267638012472378","Equidade"
"1100080","Costa Marques","RO","-0.80456673419703","Média","-0.0000270341838284531","Equidade","-1.14831416345744","Médio-baixa","-0.305872494107056","Desigualdade"
"1100098","Espigão D'Oeste","RO","-0.338177659067406","Médio-alta","-0.253176710704331","Desigualdade","-0.448315731051176","Médio-alta","-0.265240158856677","Desigualdade"
"1100106","Guajará-Mirim","RO","-0.647132668972286","Média","-0.123561919849426","Desigualdade","-0.953145378299622","Média","-0.0000682890969191972","Equidade"
"1100114","Jaru","RO","-0.448044887819546","Médio-alta","-0.135853935611507","Desigualdade","-0.632641783864272","Média","-0.123222339303984","Desigualdade"
"1100122","Ji-Paraná","RO","-0.273232703806309","Alta","-0.058271081686195","Desigualdade","-0.35095213643543","Médio-alta","-0.0565729887114976","Desigualdade"
"1100130","Machadinho D'Oeste","RO","-0.57214738987614","Médio-alta","-0.130444497735274","Desigualdade","-0.749045436406938","Média","-0.131402657911788","Desigualdade"
"1100148","Nova Brasilândia D'Oeste","RO","-0.227769532388853","Alta","-0.299714090768122","Desigualdade","-0.291856524592144","Médio-alta","-0.742269527469693","Desigualdade alta"
"1100155","Ouro Preto do Oeste","RO","-0.284114361337797","Médio-alta","-0.148323198079412","Desigualdade","-0.42984427685119","Médio-alta","-0.217883785539805","Desigualdade"
"1100189","Pimenta Bueno","RO","-0.261182916178627","Alta","-0.349723067393562","Desigualdade","-0.334482684279755","Médio-alta","-0.233156123145418","Desigualdade"
"1100205","Porto Velho","RO","-0.648219774507308","Média","-0.0364240858745853","Desigualdade","-1.00489165584696","Média","-0.0141479463965116","Desigualdade"
"1100254","Presidente Médici","RO","-0.28811444800324","Médio-alta","-0.00248589779807895","Desigualdade","-0.329660140411727","Médio-alta","-0.37985344602291","Desigualdade"
"1100262","Rio Crespo","RO","-1.15158831888976","Médio-baixa","-0.636957123214067","Desigualdade alta","-1.34720948739223","Médio-baixa","-0.775907740424066","Desigualdade alta"
"1100288","Rolim de Moura","RO","-0.318146705028502","Médio-alta","-0.169170737206604","Desigualdade","-0.544247390357531","Médio-alta","-0.126692718946606","Desigualdade"
"1100296","Santa Luzia D'Oeste","RO","-0.426582692577008","Médio-alta","-0.58338239661173","Desigualdade alta","-0.474829425661873","Médio-alta","-0.601295107158271","Desigualdade alta"
"1100304","Vilhena","RO","-0.342951728734753","Médio-alta","-0.140337325428788","Desigualdade","-0.559199796917348","Médio-alta","-0.178637778503937","Desigualdade"
"1100320","São Miguel do Guaporé","RO","-0.721976080441424","Média","-0.330329634651627","Desigualdade","-0.945215952746812","Média","-0.00154750681973737","Desigualdade"
"1100338","Nova Mamoré","RO","-0.679982908408228","Média","-0.00028807070345189","Equidade","-0.957221688297613","Média","-0.00048671525368606","Equidade"
"1100346","Alvorada D'Oeste","RO","-0.53006586457792","Médio-alta","-0.75276600293765","Desigualdade alta","-0.672269546274922","Média","-0.681282041425859","Desigualdade alta"
"1100379","Alto Alegre dos Parecis","RO","-0.585175307519485","Médio-alta","-0.890480061869421","Desigualdade alta","-0.742101664716279","Média","-0.964537461249229","Desigualdade extrema"
"1100403","Alto Paraíso","RO","-0.830819708010211","Média","-0.353106504295513","Desigualdade","-1.16021755067","Médio-baixa","-0.337029060608394","Desigualdade"
"1100452","Buritis","RO","-0.501775889052868","Médio-alta","-0.159697090259023","Desigualdade","-0.595290493916918","Médio-alta","-0.20409043900895","Desigualdade"
"1100502","Novo Horizonte do Oeste","RO","-0.571666412549063","Médio-alta","-0.458067159126522","Desigualdade","-0.682718990012867","Média","-0.413718229716876","Desigualdade"
"1100601","Cacaulândia","RO","-0.788583228326102","Média","0.00263870865560302","Situações atípicas","-0.934684065334885","Média","0.00369362992934752","Situações atípicas"
"1100700","Campo Novo de Rondônia","RO","-0.964999649456781","Média","-0.366090213612469","Desigualdade","-1.01306310114403","Média","-0.00134042007664459","Equidade"
"1100809","Candeias do Jamari","RO","-1.13947197515508","Médio-baixa","-0.00297038465645418","Desigualdade","-1.49154730160113","Baixa","-0.368907647989848","Desigualdade"
"1100908","Castanheiras","RO","-2.27465029997441","Baixa","3.1273663771183e-7","Equidade","-2.74852294491904","Baixa","-0.909224104530694","Desigualdade alta"
"1100924","Chupinguaia","RO","-0.788922273696091","Média","-0.675061478012159","Desigualdade alta","-0.90365766957588","Média","-0.570591805958577","Desigualdade alta"
"1100940","Cujubim","RO","-0.855999922140625","Média","-0.202534196479575","Desigualdade","-1.29189071215992","Médio-baixa","-0.0031237462610419","Desigualdade"
"1101005","Governador Jorge Teixeira","RO","-0.801231855084265","Média","-0.599518507235732","Desigualdade alta","-0.914381807552678","Média","-0.0000824413357325787","Equidade"
